,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
0,31, Private,169085, 11th,7, Married-civ-spouse, Sales, Wife, White, Female,0,0,20, United-States
1,17, Self-emp-not-inc,226203, 12th,8, Never-married, Sales, Own-child, White, Male,0,0,45, United-States
2,47, Private,54260, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,60, United-States
3,21, Private,176262, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, United-States
4,17, Private,241185, 12th,8, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States
5,58, Private,170480, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
6,42, Private,171069, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,15024,0,40, United-States
7,60, Self-emp-not-inc,78913, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
8,20, Private,66917, 11th,7, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, Mexico
9,29, Private,212091, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
10,36, Self-emp-not-inc,269509, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States
11,72, Private,171181, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,2329,0,20, United-States
12,37, Private,302604, Some-college,10, Separated, Other-service, Other-relative, White, Female,0,0,40, United-States
13,43, Private,184321, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1887,40, United-States
14,67, Private,162009, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,16, United-States
15,40, Private,227466, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States
16,49, ?,111282, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,4386,0,99, United-States
17,52, Federal-gov,221532, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
18,45, Self-emp-inc,40666, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
19,19, ?,41609, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,10, United-States
20,60, Self-emp-not-inc,36568, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States
21,19, Local-gov,176831, Some-college,10, Never-married, Other-service, Own-child, Black, Female,0,0,35, United-States
22,60, Self-emp-not-inc,220342, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States
23,69, Private,541737, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,2050,0,24, United-States
24,54, Private,378747, 10th,6, Separated, Transport-moving, Unmarried, Black, Male,0,0,45, United-States
25,23, Private,205939, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States
26,41, Private,282964, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
27,59, Private,426001, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,20, Puerto-Rico
28,39, Private,433592, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, United-States
